source,target,tgt_lng
Genetic algorithm tuned PID controller,遗传算法整定PID控制器,
International Conference on Inventive Systems and Control,国际创新系统与控制会议,
ICISC,ICISC,
"Mehrabian, A.R.","Mehrabian, A.R.",
numerical optimization algorithm inspired from weed colonization,受杂草定殖启发的数值优化算法,
Ecol. Inform.,Ecol. Inform.,
"Meng, A.-b.","Meng, A.-b.",
"Chen, Y.-c.","Chen, Y.-c.",
"Yin, H.","Yin, H.",
"Chen, S.-z.","Chen, S.-z.",
Crisscross optimization algorithm,纵横交叉优化算法,
"Metropolis, N.","Metropolis, N.",
"Rosenbluth, A.W.","Rosenbluth, A.W.",
"Rosenbluth, M.N.","Rosenbluth, M.N.",
"Teller, A.H.","Teller, A.H.",
"Teller, E.","Teller, E.",
Equation of state calculations by fast computing machines,快速计算机的状态方程计算,
"Lewis, A.","Lewis, A.",
Adv. Eng. Softw.,Adv. Eng. Softw.,
"Mirjalili, S.M.","Mirjalili, S.M.",
"Saremi, S.","Saremi, S.",
photonic crystal filters,光子晶体滤波器,
Nature-Inspired Optimizers,自然启发优化器,
"Mohammed, H.M.","Mohammed, H.M.",
"Umar, S.U.","Umar, S.U.",
"Rashid, T.A.","Rashid, T.A.",
meta-analysis survey,荟萃分析调查,
Comput. Intell. Neurosci.,Comput. Intell. Neurosci.,
"Mohammed, N.F.","Mohammed, N.F.",
"Song, E.","Song, E.",
"Ma, X.","Ma, X.",
"Hayat, Q.","Hayat, Q.",
Tuning of PID controller of synchronous generators,同步发电机PID控制器整定,
IEEE International Conference on Mechatronics and Automation,IEEE机电一体化与自动化国际会议,
"Moradi, M.","Moradi, M.",
New techniques for PID controller design,PID控制器设计新技术,
IEEE Conference on Control Applications,IEEE控制应用会议,
CCA 2003,CCA 2003,
"Mosaad, A.M.","Mosaad, A.M.",
"Attia, M.A.","Attia, M.A.",
Whale optimization algorithm to tune PID and PIDA controllers,用于整定PID和PIDA控制器的鲸鱼优化算法,
"Mosaad, M.I.","Mosaad, M.I.",
"abed el Raouf, M.O.","abed el Raouf, M.O.",
"Al-Ahmar, M.A.","Al-Ahmar, M.A.",
"Banakher, F.A.","Banakher, F.A.",
Maximum power point tracking of PV system,光伏系统最大功率点跟踪,
Energy Proc.,Energy Proc.,
"Mucherino, A.","Mucherino, A.",
"Seref, O.","Seref, O.",
Monkey search,猴子搜索,
novel metaheuristic search,新型元启发式搜索,
AIP Conference Proceedings,AIP会议论文集,
"Mukherjee, P.","Mukherjee, P.",
"Das, A.","Das, A.",
"Bera, P.S.","Bera, P.S.",
Design of PID power system stabilizer,PID电力系统稳定器设计,
single machine infinite bus system,单机无穷大母线系统,
International Conference on Innovation in Modern Science and Technology,国际现代科学与技术创新会议,
"Muliadi, J.","Muliadi, J.",
"Kusumoputro, B.","Kusumoputro, B.",
Neural network control system,神经网络控制系统,
UAV altitude dynamics,无人机高度动力学,
J. Adv. Transp.,J. Adv. Transp.,
"Muro, C.","Muro, C.",
"Escobedo, R.","Escobedo, R.",
"Spector, L.","Spector, L.",
"Coppinger, R.","Coppinger, R.",
Wolf-pack (canis lupus) hunting strategies,狼群（灰狼）狩猎策略,
computational simulations,计算模拟,
Behav. Process.,Behav. Process.,
"Murrieta-Mendoza, A.","Murrieta-Mendoza, A.",
"Botez, R.M.","Botez, R.M.",
"Bunel, A.","Bunel, A.",
Four-dimensional aircraft en route optimization algorithm,四维飞机航路优化算法,
artificial bee colony,人工蜂群,
J. Aerosp. Inform. Syst.,J. Aerosp. Inform. Syst.,
"Nagaraj, B.","Nagaraj, B.",
"Subha, S.","Subha, S.",
"Rampriya, B.","Rampriya, B.",
Tuning algorithms for PID controller,PID控制器整定算法,
Int. J. Comput. Sci. Netw. Secur.,Int. J. Comput. Sci. Netw. Secur.,
"Nakrani, S.","Nakrani, S.",
"Tovey, C.","Tovey, C.",
honey bees and dynamic server allocation,蜜蜂与动态服务器分配,
internet hosting centers,互联网托管中心,
Adapt. Behav.,Adapt. Behav.,
"Natarajan, K.","Natarajan, K.",
"Gilbert, A.F.","Gilbert, A.F.",
direct PID controller tuning based on finite number of frequency response data,基于有限频率响应数据的直接PID控制器整定,
ISA Trans.,ISA Trans.,
"Nimisha, K.","Nimisha, K.",
"Senthilkumar, R.","Senthilkumar, R.",
optimal tuning of PID controller for buck-boost converter,升降压变换器PID控制器最优整定,
cuckoo-search algorithm,布谷鸟搜索算法,
"International Conference on Control, Power, Communication and Computing Technologies",国际控制、电力、通信与计算技术会议,
ICCPCCT,ICCPCCT,
"Nisi, K.","Nisi, K.",
"Agalya, A.","Agalya, A.",
Tuning of a PID controller using evolutionary multi objective optimization,基于进化多目标优化的PID控制器整定,
pulp and paper industry,纸浆与造纸工业,
Int. J. Mach. Learn. Cybern.,Int. J. Mach. Learn. Cybern.,
"Niu, B.","Niu, B.",
"Fan, Y.","Fan, Y.",
"Tan, L.","Tan, L.",
"Rao, J.","Rao, J.",
"Li, L.","Li, L.",
International Conference on Intelligent Computing,智能计算国际会议,
"Zhu, Y.","Zhu, Y.",
"He, X.","He, X.",
"Zeng, X.","Zeng, X.",
Optimum design of PID controllers using only a germ of intelligence,仅用智能萌芽的PID控制器优化设计,
World Congress on Intelligent Control and Automation,世界智能控制与自动化大会,
Nojhan,Nojhan,
Dreaming of metaheuristics,元启发式梦想,
"Passino, K.M.","Passino, K.M.",
Biomimicry of bacterial foraging for distributed optimization and control,细菌觅食的仿生学用于分布式优化与控制,
IEEE Control Syst. Mag.,IEEE Control Syst. Mag.,
"Patel, V.K.","Patel, V.K.",
multi-objective improved teaching–learning based optimization algorithm,多目标改进型教与学优化算法,
MO-ITLBO,MO-ITLBO,
"Patil, N.","Patil, N.",
"Lakhekar, G.","Lakhekar, G.",
Design of PID controller for cascade control process,串级控制过程PID控制器设计,
International Conference on Intelligent Computing and Control Systems,智能计算与控制系统国际会议,
ICICCS,ICICCS,
"Kotteeswaran, R.","Kotteeswaran, R.",
"Sivakumar, L.","Sivakumar, L.",
Optimal partial-retuning of decentralised PI controller,分散式PI控制器的最优部分重调,
coal gasifier,煤气化炉,
"International Conference on Swarm, Evolutionary, and Memetic Computing",国际群体、进化与模因计算会议,
"Kowalski, P.A.","Kowalski, P.A.",
"Łukasik, S.","Łukasik, S.",
Training neural networks with krill herd algorithm,使用磷虾群算法训练神经网络,
Neural Process. Lett.,Neural Process. Lett.,
"Krishnakumar, K.","Krishnakumar, K.",
"Goldberg, D.E.","Goldberg, D.E.",
Control system optimization using genetic algorithms,使用遗传算法进行控制系统优化,
J. Guid. Control Dyn.,J. Guid. Control Dyn.,
"Krishnanand, K.","Krishnanand, K.",
"Ghose, D.","Ghose, D.",
Detection of multiple source locations using a glowworm metaphor,使用萤火虫隐喻检测多个源位置,
collective robotics,集体机器人学,
IEEE Swarm Intelligence Symposium,IEEE群体智能研讨会,
"Bawa, S.","Bawa, S.",
Generalized ant colony optimizer,广义蚁群优化器,
swarm-based meta-heuristic algorithm,基于群体的元启发式算法,
cloud services execution,云服务执行,
Computing,Computing,
comparative review,比较综述,
SLA violation costs,SLA违规成本,
dynamic execution,动态执行,
cloud services,云服务,
"Kumar, D.","Kumar, D.",
"Jarial, S.","Jarial, S.",
artificial bee colony algorithms,人工蜂群算法,
data clustering,数据聚类,
Cybern. Inf. Technol.,Cybern. Inf. Technol.,
"Kumar, A.A.","Kumar, A.A.",
"Kumar, S.G.","Kumar, S.G.",
drilling machine,钻床,
ICAARS,ICAARS,
N. Kumar,N. Kumar,
"Vidyarthi, D.P.","Vidyarthi, D.P.",
novel hybrid pso–ga meta-heuristic,新型混合PSO-GA元启发式,
scheduling of DAG,DAG调度,
multiprocessor systems,多处理器系统,
Eng. Comput.,Eng. Comput.,
P. Kumar,P. Kumar,
"Nema, S.","Nema, S.",
"Padhy, P.","Padhy, P.",
cuckoo optimization,布谷鸟优化,
"International Conference on Control, Instrumentation, Communication and Computational Technologies",控制、仪器、通信与计算技术国际会议,
R. Kumar,R. Kumar,
"Singla, S.","Singla, S.",
"Chopra, V.","Chopra, V.",
well known control schemes,著名控制方案,
tuning methods,整定方法,
J. Appl. Res. Technol.,J. Appl. Res. Technol.,
"Kumari, S.","Kumari, S.",
"Arumugam, M.","Arumugam, M.",
bio-inspired krill herd algorithm,生物启发磷虾群算法,
breast cancer classification and diagnosis,乳腺癌分类与诊断,
"Kushwah, M.","Kushwah, M.",
"Patra, A.","Patra, A.",
Adv. Electron. Electr. Eng.,Adv. Electron. Electr. Eng.,
"Lahcene, R.","Lahcene, R.",
"Abdeldjalil, S.","Abdeldjalil, S.",
"Aissa, K.","Aissa, K.",
simulated annealing optimization algorithm,模拟退火优化算法,
International Conference on Electrical Engineering-Boumerdes,国际电气工程-布默德斯会议,
"Surekha, P.M.","Surekha, P.M.",
PSO-based PID controller design,基于PSO的PID控制器设计,
stable and unstable systems,稳定与不稳定系统,
ISRN Artificial Intelligence,ISRN Artificial Intelligence,
"Lazar, M.","Lazar, M.",
"Heemels, W.","Heemels, W.",
Predictive control of hybrid systems,混合系统的预测控制,
input-to-state stability results,输入到状态稳定性结果,
sub-optimal solutions,次优解,
"Lee, K.Y.","Lee, K.Y.",
"Park, J.-B.","Park, J.-B.",
economic dispatch problem,经济调度问题,
IEEE PES Power Systems Conference and Exposition,IEEE PES电力系统会议与展览,
"Lequin, O.","Lequin, O.",
"Gevers, M.","Gevers, M.",
"Triest, L.","Triest, L.",
settling time,调节时间,
iterative feedback tuning,迭代反馈整定,
IFAC Proc. Vol.,IFAC Proc. Vol.,
"Li, J.","Li, J.",
"Tang, Y.","Tang, Y.",
"Hua, C.","Hua, C.",
"Guan, X.","Guan, X.",
improved krill herd algorithm,改进的磷虾群算法,
krill herd with linear decreasing step,线性递减步长磷虾群,
Appl. Math. Comput.,Appl. Math. Comput.,
"Sun, L.","Sun, L.",
"Guo, J.","Guo, J.",
"Qi, J.","Qi, J.",
"Xu, B.","Xu, B.",
"Li, S.","Li, S.",
Modified discrete grey wolf optimizer algorithm,改进离散灰狼优化算法,
"Li, Q.","Li, Q.",
"Chen, H.","Chen, H.",
"Huang, H.","Huang, H.",
"Zhao, X.","Zhao, X.",
"Cai, Z.","Cai, Z.",
"Tong, C.","Tong, C.",
"Liu, W.","Liu, W.",
"Tian, X.","Tian, X.",
enhanced grey wolf optimization,增强灰狼优化,
kernel extreme learning machine,核极限学习机,
medical diagnosis,医学诊断,
Comput. Math. Methods Med.,Comput. Math. Methods Med.,
"Li, X.","Li, X.",
"Zhang, J.","Zhang, J.",
"Yin, M.","Yin, M.",
Animal migration optimization,动物迁移优化,
animal migration behavior,动物迁移行为,
"Li, X.H.","Li, X.H.",
"Yu, H.B.","Yu, H.B.",
"Yuan, M.Z.","Yuan, M.Z.",
Lyapunov approach,李雅普诺夫方法,
International Conference on Information Engineering and Computer Science,信息工程与计算机科学国际会议,
"Liao, W.","Liao, W.",
"Hu, Y.","Hu, Y.",
"Wang, H.","Wang, H.",
DC motor,直流电机,
International Conference on Advanced Mechatronic Systems,先进机电系统国际会议,
"Lipták, B.G.","Lipták, B.G.",
Instrument Engineers' Handbook,仪器工程师手册,
Process Measurement and Analysis,过程测量与分析,
CRC Press,CRC Press,
"Liu, J.","Liu, J.",
"Luo, X.G.","Luo, X.G.",
"Zhang, X.M.","Zhang, X.M.",
"Zhang, F.","Zhang, F.",
Job scheduling algorithm,作业调度算法,
Advanced Materials Research,Advanced Materials Research,
Trans. Tech. Publ.,Trans. Tech. Publ.,
"Loucif, F.","Loucif, F.",
"Kechida, S.","Kechida, S.",
"Sebbagh, A.","Sebbagh, A.",
trajectory tracking control,轨迹跟踪控制,
robot manipulator,机器人操作臂,
J. Braz. Soc. Mech. Sci. Eng.,J. Braz. Soc. Mech. Sci. Eng.,
"Valera, A.","Valera, A.",
"Albertos, P.","Albertos, P.",
"Arimoto, S.","Arimoto, S.",
"Nakayama, T.","Nakayama, T.",
PD control,PD控制,
joint flexibility,关节柔性,
actuators dynamics,执行器动力学,
friction,摩擦,
"Luyben, W.L.","Luyben, W.L.",
Simple method for tuning SISO controllers in multivariable systems,多变量系统中SISO控制器整定的简单方法,
Ind. Eng. Chem. Process Des. Dev.,Ind. Eng. Chem. Process Des. Dev.,
"Madadi, A.","Madadi, A.",
"Motlagh, M.M.","Motlagh, M.M.",
grey wolf optimizer algorithm,灰狼优化算法,
Tech. J. Eng. Appl. Sci.,Tech. J. Eng. Appl. Sci.,
"Mamizadeh, A.","Mamizadeh, A.",
"Genc, N.","Genc, N.",
PI controller,PI控制器,
boost DC-DC converters,升压DC-DC变换器,
"Man, K.-F.","Man, K.-F.",
"Tang, K.-S.","Tang, K.-S.",
"Kwong, S.","Kwong, S.",
engineering design,工程设计,
IEEE Trans. Ind. Electron.,IEEE Trans. Ind. Electron.,
objective value,目标值,
functional evaluation,函数评估,
universal framework,通用框架,
Shilane et al.,Shilane 等人,
formal theoretical investigation,形式化理论探究,
Chiarandini et al.,Chiarandini 等人,
Natural World,自然世界,
biological evolution,生物进化,
intelligent algorithm,智能算法,
NP-hard optimization problem,NP难优化问题,
self-regulating metaheuristic,自调节元启发式算法,
self-evolving metaheuristic,自进化元启发式算法,
fully intelligent metaheuristic,全智能元启发式算法,
Convergence analysis,收敛性分析,
mathematical analysis,数学分析,
optimization problem,优化问题,
large-scale nonlinear global optimization,大规模非线性全局优化,
NP-hard problem,NP难问题,
GWO,灰狼优化,
memetic algorithm,模因算法,
dynamic optimization,动态优化,
local amplification,局部放大,
global heterogeneity,全局异质性,
Blum and Roli,Blum 和 Roli,
parameter fine-tuning,参数微调,
Dokeroglu et al.,Dokeroglu 等人,
parameter-free metaheuristic algorithm,无参数元启发式算法,
Statistical analysis approach,统计分析方法,
transfer learning,迁移学习,
Talbi,Talbi,
population-based metaheuristic algorithm,基于种群的元启发式算法,
Alba et al.,Alba 等人,
exploration vs exploitation,探索与利用,
convergence,收敛,
searching ability,搜索能力,
local optimum vs global optimum,局部最优与全局最优,
Hussain et al.,Hussain 等人,
self-adapting metaheuristic algorithm,自适应元启发式算法,
self-tuning metaheuristic algorithm,自调参元启发式算法,
self-evolving scalable metaheuristic algorithm,自进化可扩展元启发式算法,
decision variable,决策变量,
Sala and Müller,Sala 和 Müller,
metaheuristic bat-inspired algorithm,元启发式蝙蝠算法,
Nature Inspired Cooperative Strategies for Optimization,自然启发协作优化策略,
NICSO 2010,NICSO 2010,
Metaheuristic optimization,元启发式优化,
algorithm analysis and open problems,算法分析与开放问题,
International Symposium on Experimental Algorithms,国际实验算法研讨会,
Bat algorithm for multi-objective optimisation,多目标优化的蝙蝠算法,
Flower pollination algorithm,花朵授粉算法,
International Conference on Unconventional Computing and Natural Computation,国际非常规计算与自然计算会议,
Lévy flights,莱维飞行,
World Congress on Nature & Biologically Inspired Computing,世界自然与生物启发计算大会,
NaBIC,NaBIC,
Engineering optimisation by cuckoo search,基于布谷鸟搜索的工程优化,
pathfinder algorithm,探路者算法,
grey wolf,灰狼,
whale,鲸鱼,
water cycle,水循环,
ant lion,蚁狮,
sine-cosine algorithms,正弦余弦算法,
optimization of a vehicle engine connecting rod,车辆发动机连杆优化,
Mater. Test.,Mater. Test.,
sensorless controller,无传感器控制器,
pmsm,永磁同步电机,
"The 6th Power Electronics, Drive Systems & Technologies Conference",第六届电力电子、驱动系统与技术会议,
PEDSTC2015,PEDSTC2015,
prediction of the temperature in a Chinese solar greenhouse,中国日光温室温度预测,
LSSVM,最小二乘支持向量机,
improved PSO,改进粒子群优化,
Comput. Electron. Agric.,Comput. Electron. Agric.,
teaching–learning-based optimization algorithm,教与学优化算法,
optimal tuning of PID control,PID控制最优整定,
single machine infinite bus,单机无穷大母线,
2019 International Conference on Technologies and Policies in Electric Power & Energy,2019年国际电力能源技术与政策会议,
Water wave optimization,水波优化,
nature-inspired metaheuristic,自然启发式元启发方法,
Comput. Oper. Res.,Comput. Oper. Res.,
single phase inverter,单相逆变器,
ABC,人工蜂群算法,
"2019 5th International Conference on Control, Automation and Robotics",2019年第五届国际控制、自动化与机器人会议,
ICCAR,ICCAR,
parametric optimization of spacecraft attitude tracking controller,航天器姿态跟踪控制器参数优化,
Foundations and Practical Applications of Cognitive Systems and Information Processing,认知系统与信息处理的基础与实践应用,
Automatic tuning of optimum PID controllers,最优PID控制器自动整定,
IEE Proceedings D (Control Theory and Applications),IEE Proceedings D（控制理论与应用）,
IET,IET,
Optimum settings for automatic controllers,自动控制器最优设置,
Ziegler,Ziegler,
Nichols,Nichols,
control algorithms for autonomous quadrotors,自主四旋翼飞行器控制算法,
Open J. Appl. Sci.,Open J. Appl. Sci.,
International Conference on Information Systems Design and Intelligent Applications 2012,2012年信息系统设计与智能应用国际会议,
INDIA 2012,INDIA 2012,
Visakhapatnam,维沙卡帕特南,
India,印度,
January 2012,2012年1月,
"Glover, F.","Glover, F.",
Tabu search,禁忌搜索,
adaptive memory programming,自适应记忆编程,
Interfaces in Computer Science and Operations Research,计算机科学与运筹学中的接口,
"Gogna, A.","Gogna, A.",
"Tayal, A.","Tayal, A.",
J. Exp. Theor. Artif. Intell.,J. Exp. Theor. Artif. Intell.,
"Goldbogen, J.A.","Goldbogen, J.A.",
"Friedlaender, A.S.","Friedlaender, A.S.",
"Calambokidis, J.","Calambokidis, J.",
"Mckenna, M.F.","Mckenna, M.F.",
"Simon, M.","Simon, M.",
"Nowacek, D.P.","Nowacek, D.P.",
baleen whale diving behavior,须鲸潜水行为,
feeding performance,摄食性能,
foraging ecology,觅食生态学,
BioScience,BioScience,
"Goldenberg, D.E.","Goldenberg, D.E.",
"Grimm, G.","Grimm, G.",
"Messina, M.J.","Messina, M.J.",
"Tuna, S.E.","Tuna, S.E.",
"Teel, A.R.","Teel, A.R.",
Nominally robust model predictive control,名义鲁棒模型预测控制,
state constraints,状态约束,
"Haber, R.E.","Haber, R.E.",
"Haber-Haber, R.","Haber-Haber, R.",
"Del Toro, R.M.","Del Toro, R.M.",
"Alique, J.R.","Alique, J.R.",
time-delay systems,时滞系统,
high-performance drilling process,高性能钻孔过程,
International Work-Conference on Artificial Neural Networks,国际人工神经网络工作会议,
"Haddad, O.B.","Haddad, O.B.",
"Afshar, A.","Afshar, A.",
"Mariño, M.A.","Mariño, M.A.",
Honey-bees mating optimization (HBMO) algorithm,蜜蜂交配优化（HBMO）算法,
water resources optimization,水资源优化,
Water Resour. Manag.,Water Resour. Manag.,
Industrial adaptive controllers,工业自适应控制器,
frequency response techniques,频率响应技术,
"Hahn, J.","Hahn, J.",
Handbook of PI and PID controller tuning rules,PI和PID控制器整定规则手册,
"Hajihassani, M.","Hajihassani, M.",
"Armaghani, D.J.","Armaghani, D.J.",
"Kalatehjari, R.","Kalatehjari, R.",
geotechnical engineering,岩土工程,
Geotech. Geolog. Eng.,Geotech. Geolog. Eng.,
"Hambali, N.","Hambali, N.",
"Masngut, A.","Masngut, A.",
"Ishak, A.A.","Ishak, A.A.",
"Janin, Z.","Janin, Z.",
Process controllability,过程可控性,
flow control system,流量控制系统,
Ziegler-Nichols (ZN) tuning,齐格勒-尼科尔斯（ZN）整定,
Cohen-Coon (CC) tuning,科恩-库恩（CC）整定,
Chien-Hrones-Reswick (CHR) tuning,Chien-Hrones-Reswick（CHR）整定,
"IEEE International Conference on Smart Instrumentation, Measurement and Applications",IEEE智能仪器测量与应用国际会议,
ICSIMA,ICSIMA,
"Hang, C.C.","Hang, C.C.",
"Ho, W.K.","Ho, W.K.",
Refinements of the Ziegler–Nichols tuning formula,齐格勒-尼科尔斯整定公式的改进,
"Hanseth, O.","Hanseth, O.",
"Aanestad, M.","Aanestad, M.",
Design as bootstrapping,自举式设计,
ICT networks in health care,医疗保健中的ICT网络,
Methods Inf. Med.,Methods Inf. Med.,
"Harifi, S.","Harifi, S.",
"Khalilian, M.","Khalilian, M.",
"Mohammadzadeh, J.","Mohammadzadeh, J.",
"Ebrahimnejad, S.","Ebrahimnejad, S.",
Emperor penguins colony,帝企鹅群,
Evol. Intell.,Evol. Intell.,
"Harris, T.J.","Harris, T.J.",
Assessment of control loop performance,控制回路性能评估,
Can. J. Chem. Eng.,Can. J. Chem. Eng.,
"Hekimoğlu, B.","Hekimoğlu, B.",
"Ekinci, S.","Ekinci, S.",
"Kaya, S.","Kaya, S.",
PID controller design,PID控制器设计,
DC-DC buck converter,DC-DC降压变换器,
International Conference on Artificial Intelligence and Data Processing,人工智能与数据处理国际会议,
IDAP,IDAP,
"Herlambang, T.","Herlambang, T.",
"Rahmalia, D.","Rahmalia, D.",
"Yulianto, T.","Yulianto, T.",
ant colony optimization (ACO),蚁群优化（ACO）,
autonomous underwater vehicle (AUV) control system,自主水下航行器（AUV）控制系统,
Journal of Physics: Conference Series,物理学报：会议系列,
IOP Publishing,IOP Publishing,
"Hernandez, J.","Hernandez, J.",
"Salto, C.","Salto, C.",
"Minetti, G.","Minetti, G.",
"Carnero, M.","Carnero, M.",
"Sanchez, M.C.","Sanchez, M.C.",
Hybrid simulated annealing,混合模拟退火,
optimal cost instrumentation in chemical plants,化工厂最优成本仪表配置,
Chem. Eng. Trans.,Chem. Eng. Trans.,
"Gan, O.","Gan, O.",
"Tay, E.B.","Tay, E.B.",
"Ang, E.","Ang, E.",
Performance and gain and phase margins,性能与增益及相位裕度,
PID tuning formulas,PID整定公式,
"Hof, P.R.","Hof, P.R.",
"Van der Gucht, E.","Van der Gucht, E.",
cerebral cortex of the humpback whale,座头鲸大脑皮层,
megaptera novaeangliae,megaptera novaeangliae,
cetacea,鲸目,
mysticeti,须鲸亚目,
balaenopteridae,鳁鲸科,
Adv. Integr. Anat. Evol. Biol.,Adv. Integr. Anat. Evol. Biol.,
"Holland, J.H.","Holland, J.H.",
Adaptation in Natural and Artificial Systems,自然与人工系统中的适应,
The University of Michigan Press,密歇根大学出版社,
"Hosseini, H.S.","Hosseini, H.S.",
Problem solving by intelligent water drops,智能水滴求解问题,
"Houssein, E.H.","Houssein, E.H.",
"Saad, M.R.","Saad, M.R.",
"Hashim, F.A.","Hashim, F.A.",
"Shaban, H.","Shaban, H.",
"Hassaballah, M.","Hassaballah, M.",
Lévy flight distribution,莱维飞行分布,
engineering optimization problems,工程优化问题,
"Huang, B.","Huang, B.",
"Shah, S.","Shah, S.",
"Kwok, E.","Kwok, E.",
Performance assessment of multivariable processes,多变量过程性能评估,
"Shah, S.L.","Shah, S.L.",
Performance Assessment of Control Loops: Theory and Applications,控制回路性能评估：理论与应用,
Springer Science & Business Media,Springer Science & Business Media,
"Hussain, K.","Hussain, K.",
"Salleh, M.N.M.","Salleh, M.N.M.",
"Cheng, S.","Cheng, S.",
"Shi, Y.","Shi, Y.",
Metaheuristic research,元启发式研究,
Artif. Intell. Rev.,Artif. Intell. Rev.,
"Hussain, K.M.","Hussain, K.M.",
"Zepherin, R.A.R.","Zepherin, R.A.R.",
"Shantha, M.","Shantha, M.",
FOPTD system,一阶加纯滞后系统,
"Hussien, A.G.","Hussien, A.G.",
"Amin, M.","Amin, M.",
"Abd El Aziz, M.","Abd El Aziz, M.",
moth-flame optimisation,蛾焰优化,
"Huynh, B.-P.","Huynh, B.-P.",
"Su, S.-F.","Su, S.-F.",
"Kuo, Y.-L.","Kuo, Y.-L.",
Vision/position hybrid control,视觉/位置混合控制,
hexa robot,六足机器人,
real-time pose adjustment,实时位姿调整,
Symmetry,Symmetry,
"Jackson, W.G.","Jackson, W.G.",
"Özcan, E.","Özcan, E.",
"John, R.I.","John, R.I.",
Move acceptance in local search metaheuristics,局部搜索元启发式中的移动接受,
cross-domain search,跨域搜索,
Rao et al.,Rao等人,
Rao and Kalyankar,Rao和Kalyankar,
TLBO,TLBO,
PID parameter tuning,PID参数整定,
AVR,AVR,
AGC,AGC,
magnetic levitation system,磁悬浮系统,
thermal system,热力系统,
Lozi Map-based Chaotic Optimization Algorithm,Lozi映射混沌优化算法,
LCOA,LCOA,
GA,遗传算法,
Pattern Search,模式搜索,
Simulated Algorithm,模拟算法,
Ziegler–Nichols,齐格勒-尼科尔斯,
Cohen–Coon,科恩-库恩,
Frequency response methods,频率响应法,
Hagglund,Hagglund,
Astrom,Astrom,
adaptive techniques,自适应技术,
Optimization methods,优化方法,
feedback optimal control system,反馈最优控制系统,
mathematical programming,数学规划,
numerical optimization technique,数值优化技术,
evolutionary algorithms,进化算法,
mathematical programming problem (MPP),数学规划问题,
chaotic optimization,混沌优化,
evolutionary multi-objective optimization,进化多目标优化,
glow-worm optimization,萤火虫优化,
Adaptive tuning methods,自适应整定方法,
real-time tuning,实时整定,
plant dynamics,被控对象动态特性,
Artificial bee colony optimization,人工蜂群优化,
Karaboga,Karaboga,
Artificial Bee Colony (ABC),人工蜂群算法 (ABC),
metaheuristic,元启发式,
honey bees,蜜蜂,
foraging habit,觅食习性,
hive,蜂巢,
employed foraging bees,雇佣蜂,
unemployed foraging bees,非雇佣蜂,
food sources,食物源,
forager recruitment,招募觅食者,
positive feedback,正反馈,
negative feedback,负反馈,
self-organization,自组织,
collective intelligence,集体智慧,
combinatorial problem,组合优化问题,
building blocks,构块,
trajectory optimization,轨迹优化,
parameter optimization,参数优化,
remote sensing applications,遥感应用,
ABC for PID tuning,用于PID整定的ABC,
population-based algorithm,基于种群的算法,
population size,种群大小,
colony size (SN),蜂群大小 (SN),
maximum generation number,最大代数,
maximum cycle number (MCN),最大循环次数 (MCN),
limit,限制参数,
benchmark functions,基准函数,
overshoot,超调,
minimal error,最小误差,
fractional order systems,分数阶系统,
hub motion,轮毂运动,
end point vibration suppression,端点振动抑制,
double-link flexible robotic manipulator,双连杆柔性机器人机械臂,
bench scaled nonlinear dynamical system (NLDS),台架缩比非线性动力学系统 (NLDS),
"Talbi, E.-G.","Talbi, E.-G.",
Machine learning into metaheuristics: a survey and taxonomy of data- driven metaheuristics,机器学习在元启发式算法中的应用：数据驱动元启发式算法的综述与分类,
"Tamura, K.","Tamura, K.",
"Yasuda, K.","Yasuda, K.",
Primary study of spiral dynamics inspired optimization,螺旋动力学启发优化的初步研究,
IEEJ Trans. Electr. Electron. Eng.,IEEJ电气与电子工程汇刊,
"Tan, W.","Tan, W.",
"Marquez, H.J.","Marquez, H.J.",
"Chen, T.","Chen, T.",
Performance assessment of PID controllers,PID控制器性能评估,
Control Intell. Syst.,控制与智能系统,
"Yuan, Y.","Yuan, Y.",
"Niu, Y.","Niu, Y.",
Tuning of PID controller for unstable process,不稳定过程的PID控制器整定,
Proceedings of the 1999 IEEE International Conference on Control Applications,1999年IEEE控制应用国际会议论文集,
"Tan, Y.","Tan, Y.",
Fireworks algorithm for optimization,烟花算法优化,
International Conference in Swarm Intelligence,国际群体智能会议,
"Tang, W.","Tang, W.",
"Wu, Q.","Wu, Q.",
Biologically inspired optimization: a review,生物启发优化综述,
"Tavares, R.S.","Tavares, R.S.",
"Sato, A.K.","Sato, A.K.",
"Martins, T.C.","Martins, T.C.",
"Lima, R.G.","Lima, R.G.",
"Tsuzuki, M.S.G.","Tsuzuki, M.S.G.",
GPU acceleration of absolute EIT image reconstruction using simulated annealing,基于模拟退火的绝对EIT图像重建GPU加速,
Biomed. Signal Process. Control,生物医学信号处理与控制,
"Tikhamarine, Y.","Tikhamarine, Y.",
"Souag-Gamane, D.","Souag-Gamane, D.",
"Ahmed, A.N.","Ahmed, A.N.",
"Kisi, O.","Kisi, O.",
"El-Shafie, A.","El-Shafie, A.",
J. Hydrol.,水文学杂志,
"Valluru, S.K.","Valluru, S.K.",
"Singh, M.","Singh, M.",
Int. J. Control Theory Appl.,国际控制理论与应用杂志,
"Varty, Z.","Varty, Z.",
Simulated annealing overview,模拟退火概述,
"Verma, P.","Verma, P.",
"Patel, N.","Patel, N.",
"Nair, N.-K.C.","Nair, N.-K.C.",
